"Date","Daily_Male_Female_Sum","Daily_Generation_Sum","Daily_Total_Visitors"
2023-07-01,60,60,60
2023-07-02,102,101,102
2023-07-03,0,0,0
2023-07-04,106,106,106
2023-07-05,0,0,0
2023-07-06,0,0,0
2023-07-07,0,0,0
2023-07-08,77,77,77
2023-07-09,33,33,33
2023-07-10,0,0,0
2023-07-11,0,0,0
2023-07-12,127,127,127
2023-07-13,0,0,0
2023-07-14,100,99,100
2023-07-15,0,0,0
2023-07-16,101,101,101
2023-07-17,43,43,43
2023-07-18,0,0,0
2023-07-19,153,153,153
2023-07-20,0,0,0
2023-07-21,248,248,248
2023-07-22,370,368,370
2023-07-23,298,298,298
2023-07-24,175,174,175
2023-07-25,88,88,88
2023-07-26,126,126,126
2023-07-27,485,484,485
2023-07-28,467,467,467
2023-07-29,389,388,389
2023-07-30,202,203,203
2023-07-31,386,386,386
