"富士山吉田登山口","男性","女性","X20代","X30代","X40代","X50代","X60代","X70歳以上","居住者","勤務者","来街者","平均男性","平均女性","平均20代","平均30代","平均40代","平均50代","平均60代","平均70歳以上","平均居住者","平均勤務者","平均来街者","Date","Male_Female_Sum","Generation_Sum","Daily_Total_Visitors"
"期間全体",33,0,0,0,0,0,0,33,0,0,33,33,0,0,0,0,0,0,33,0,0,33,2022-07-01,33,33,33
"期間全体",69,25,0,0,0,53,41,0,0,0,95,69,25,0,0,0,53,41,0,0,0,95,2022-07-02,94,94,94
"期間全体",0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-07-03,0,0,0
"期間全体",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-07-04,0,0,0
"期間全体",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-07-05,0,0,0
"期間全体",0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-07-06,0,0,0
"期間全体",0,29,0,0,0,29,0,0,0,0,29,0,29,0,0,0,29,0,0,0,0,29,2022-07-07,29,29,29
"期間全体",0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-07-08,0,0,0
"期間全体",147,0,0,0,44,64,38,0,0,0,147,147,0,0,0,44,64,38,0,0,0,147,2022-07-09,147,146,147
"期間全体",56,108,0,0,165,0,0,0,0,0,165,56,108,0,0,165,0,0,0,0,0,165,2022-07-10,164,165,165
"期間全体",0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-07-11,0,0,0
"期間全体",0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-07-12,0,0,0
"期間全体",92,0,0,92,0,0,0,0,0,0,92,92,0,0,92,0,0,0,0,0,0,92,2022-07-13,92,92,92
"期間全体",0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-07-14,0,0,0
"期間全体",31,0,0,0,0,31,0,0,0,0,31,31,0,0,0,0,31,0,0,0,0,31,2022-07-15,31,31,31
"期間全体",0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-07-16,0,0,0
"期間全体",89,45,0,62,0,27,45,0,0,0,135,89,45,0,62,0,27,45,0,0,0,135,2022-07-17,134,134,134
"期間全体",138,0,138,0,0,0,0,0,0,0,138,138,0,138,0,0,0,0,0,0,0,138,2022-07-18,138,138,138
"期間全体",46,0,0,0,46,0,0,0,0,0,46,46,0,0,0,46,0,0,0,0,0,46,2022-07-19,46,46,46
"期間全体",118,0,0,0,61,0,57,0,0,61,57,118,0,0,0,61,0,57,0,0,61,57,2022-07-20,118,118,118
"期間全体",0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-07-21,0,0,0
"期間全体",32,0,0,0,0,0,0,32,0,0,32,32,0,0,0,0,0,0,32,0,0,32,2022-07-22,32,32,32
"期間全体",53,0,0,0,0,53,0,0,0,0,53,53,0,0,0,0,53,0,0,0,0,53,2022-07-23,53,53,53
"期間全体",40,0,0,0,0,40,0,0,0,0,40,40,0,0,0,0,40,0,0,0,0,40,2022-07-24,40,40,40
"期間全体",53,0,0,0,53,0,0,0,0,0,53,53,0,0,0,53,0,0,0,0,0,53,2022-07-25,53,53,53
"期間全体",165,50,0,51,164,0,0,0,0,111,104,165,50,0,51,164,0,0,0,0,111,104,2022-07-26,215,215,215
"期間全体",159,0,0,0,57,0,101,0,0,0,159,159,0,0,0,57,0,101,0,0,0,159,2022-07-27,159,158,159
"期間全体",206,0,0,66,104,0,35,0,0,0,206,206,0,0,66,104,0,35,0,0,0,206,2022-07-28,206,205,206
"期間全体",308,66,0,159,65,63,87,0,0,0,375,308,66,0,159,65,63,87,0,0,0,375,2022-07-29,374,374,374
"期間全体",48,51,0,0,0,23,76,0,0,0,99,48,51,0,0,0,23,76,0,0,0,99,2022-07-30,99,99,99
"期間全体",60,115,0,0,50,0,125,0,0,50,125,60,115,0,0,50,0,125,0,0,50,125,2022-07-31,175,175,175
"期間全体",60,0,0,0,60,0,0,0,0,0,60,60,0,0,0,60,0,0,0,0,0,60,2023-07-01,60,60,60
"期間全体",0,102,0,0,0,48,0,53,0,0,102,0,102,0,0,0,48,0,53,0,0,102,2023-07-02,102,101,102
"期間全体",0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-07-03,0,0,0
"期間全体",106,0,0,77,0,29,0,0,0,0,106,106,0,0,77,0,29,0,0,0,0,106,2023-07-04,106,106,106
"期間全体",0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-07-05,0,0,0
"期間全体",0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-07-06,0,0,0
"期間全体",0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-07-07,0,0,0
"期間全体",30,47,0,0,47,30,0,0,0,47,30,30,47,0,0,47,30,0,0,0,47,30,2023-07-08,77,77,77
"期間全体",0,33,0,0,0,0,33,0,0,0,33,0,33,0,0,0,0,33,0,0,0,33,2023-07-09,33,33,33
"期間全体",0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-07-10,0,0,0
"期間全体",0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-07-11,0,0,0
"期間全体",38,89,0,0,89,38,0,0,0,86,41,38,89,0,0,89,38,0,0,0,86,41,2023-07-12,127,127,127
"期間全体",0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-07-13,0,0,0
"期間全体",100,0,0,0,0,33,25,41,0,0,100,100,0,0,0,0,33,25,41,0,0,100,2023-07-14,100,99,100
"期間全体",0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-07-15,0,0,0
"期間全体",55,46,0,0,55,46,0,0,0,0,101,55,46,0,0,55,46,0,0,0,0,101,2023-07-16,101,101,101
"期間全体",43,0,0,43,0,0,0,0,0,0,43,43,0,0,43,0,0,0,0,0,0,43,2023-07-17,43,43,43
"期間全体",0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-07-18,0,0,0
"期間全体",115,38,0,115,0,38,0,0,0,0,154,115,38,0,115,0,38,0,0,0,0,154,2023-07-19,153,153,153
"期間全体",0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-07-20,0,0,0
"期間全体",189,59,0,77,0,79,59,33,0,38,211,189,59,0,77,0,79,59,33,0,38,211,2023-07-21,248,248,248
"期間全体",206,164,139,66,0,28,0,135,0,0,370,206,164,139,66,0,28,0,135,0,0,370,2023-07-22,370,368,370
"期間全体",190,108,0,190,0,0,0,108,0,0,299,190,108,0,190,0,0,0,108,0,0,299,2023-07-23,298,298,298
"期間全体",175,0,0,0,49,89,36,0,0,38,137,175,0,0,0,49,89,36,0,0,38,137,2023-07-24,175,174,175
"期間全体",45,43,0,0,0,0,43,45,0,0,88,45,43,0,0,0,0,43,45,0,0,88,2023-07-25,88,88,88
